n	k	d	fom	l	m	A	B	wt	fam	C	D
300	8	30	24.0000	10	15	x^1*y^2+x^3*y^5+x^4*y^6	x^1*y^7+x^1*y^10+x^7*y^1+x^8*y^6	7	css		
192	8	24	24.0000	24	4	x^1*y^0+x^3*y^3+x^7*y^0+x^10*y^1+x^14*y^0+x^16*y^2+x^17*y^0+x^20*y^2	x^1*y^1+x^1*y^3+x^4*y^0+x^7*y^0+x^10*y^1+x^12*y^1+x^17*y^3+x^22*y^3	16	css		
432	8	36	24.0000	8	27	x^0*y^12+x^0*y^24+x^1*y^12+x^1*y^22+x^3*y^13+x^5*y^20+x^7*y^18+x^7*y^23	x^1*y^15+x^5*y^1+x^5*y^25+x^6*y^16+x^6*y^21+x^7*y^7	14	css		
784	8	48	23.5102	56	7	x^11*y^3+x^13*y^2+x^33*y^6+x^36*y^1	x^14*y^1+x^18*y^3+x^22*y^6+x^41*y^3	8	css		
168	12	18	23.1429	3	28	x^0*y^23+x^0*y^27+x^1*y^1+x^1*y^5+x^1*y^7+x^1*y^13+x^2*y^9	x^1*y^12+x^2*y^2+x^2*y^18	10	css		
900	8	51	23.1200	15	30	x^0*y^21+x^2*y^15+x^11*y^17	x^4*y^23+x^7*y^9+x^8*y^19+x^14*y^23	7	css		
140	8	20	22.8571	10	7	x^1*y^3+x^2*y^2+x^3*y^3+x^4*y^0+x^8*y^2+x^9*y^0	x^2*y^6+x^4*y^0+x^8*y^3+x^9*y^1	10	css		
680	8	44	22.7765	20	17	x^1*y^13+x^15*y^12+x^15*y^13+x^17*y^11	x^14*y^3+x^14*y^5+x^16*y^10+x^16*y^16	8	css		
360	8	32	22.7556	15	12	x^4*y^7+x^4*y^8+x^7*y^1+x^10*y^1+x^11*y^0+x^12*y^6+x^13*y^8	x^4*y^10+x^5*y^10+x^6*y^11+x^7*y^2+x^12*y^10+x^12*y^11	13	css		
540	8	39	22.5333	45	6	x^25*y^0+x^29*y^4+x^38*y^0+x^40*y^4	x^1*y^3+x^17*y^1+x^29*y^5	7	css		
416	8	34	22.2308	8	26	x^1*y^7+x^1*y^23+x^3*y^19+x^7*y^13	x^0*y^1+x^0*y^10+x^0*y^12+x^4*y^0	8	css		
704	8	44	22.0000	44	8	x^13*y^7+x^19*y^2+x^30*y^5+x^30*y^6	x^0*y^1+x^2*y^6+x^14*y^1+x^18*y^6+x^22*y^4+x^38*y^4	10	css		
480	8	36	21.6000	4	60	x^1*y^8+x^1*y^12+x^2*y^41+x^3*y^24	x^0*y^21+x^0*y^57+x^2*y^53+x^3*y^16	8	css		
216	8	24	21.3333	6	18	x^1*y^12+x^3*y^6+x^3*y^9+x^3*y^13	x^0*y^5+x^0*y^11+x^2*y^10+x^3*y^15	8	css		
384	8	32	21.3333	32	6	x^1*y^0+x^10*y^4+x^18*y^5+x^21*y^2+x^24*y^4+x^25*y^4+x^28*y^5	x^8*y^5+x^9*y^3+x^13*y^3+x^31*y^5	11	css		
210	10	21	21.0000	7	15	x^0*y^8+x^1*y^2+x^1*y^7+x^4*y^11	x^0*y^0+x^1*y^1+x^3*y^7+x^5*y^2	8	css		
240	8	25	20.8333	2	60	x^0*y^3+x^0*y^7+x^0*y^9+x^1*y^7+x^1*y^20+x^1*y^24+x^1*y^41+x^1*y^53	x^0*y^2+x^0*y^50+x^1*y^10+x^1*y^22	12	css		
384	10	28	20.4167	6	32	x^2*y^11+x^3*y^14+x^3*y^25+x^4*y^8	x^0*y^0+x^3*y^0+x^4*y^6+x^5*y^30	8	css		
160	8	20	20.0000	5	16	x^0*y^8+x^0*y^10+x^0*y^13+x^0*y^15+x^1*y^15+x^3*y^0+x^4*y^6+x^4*y^9	x^0*y^4+x^0*y^8+x^1*y^5+x^2*y^9+x^3*y^0+x^3*y^12	14	css		
476	8	34	19.4286	17	14	x^2*y^11+x^9*y^3+x^9*y^4+x^10*y^3	x^4*y^11+x^8*y^9+x^11*y^6+x^14*y^3	8	css		
960	8	48	19.2000	15	32	x^0*y^15+x^1*y^9+x^2*y^7+x^6*y^3+x^7*y^20+x^11*y^25+x^11*y^28	x^0*y^13+x^0*y^29+x^4*y^10+x^4*y^16	11	css		
126	6	20	19.0476	7	9	x^0*y^7+x^1*y^5+x^2*y^7+x^3*y^7+x^4*y^2+x^5*y^4+x^6*y^3+x^6*y^6	x^0*y^4+x^1*y^1+x^5*y^2+x^6*y^5	12	css		
114	6	19	19.0000	19	3	x^0*y^1+x^1*y^2+x^2*y^2+x^5*y^1+x^17*y^0+x^18*y^0	x^1*y^0+x^4*y^1+x^5*y^0+x^11*y^0+x^13*y^0+x^17*y^1	12	css		
456	6	38	19.0000	6	38	x^1*y^33+x^3*y^29+x^5*y^16+x^5*y^34	x^0*y^27+x^0*y^32+x^1*y^34+x^1*y^35+x^3*y^14+x^3*y^34+x^4*y^7+x^4*y^33	12	css		
168	6	23	18.8929	3	28	x^0*y^15+x^1*y^12+x^1*y^13+x^2*y^1+x^2*y^3+x^2*y^8	x^0*y^15+x^0*y^22+x^1*y^9+x^2*y^6+x^2*y^24+x^2*y^26	12	css		
90	10	13	18.7778	3	15	x^0*y^3+x^0*y^8+x^0*y^13+x^0*y^14+x^1*y^0+x^2*y^3	x^0*y^3+x^0*y^7+x^0*y^11+x^0*y^14+x^2*y^12+x^2*y^13	12	css		
288	8	26	18.7778	12	12	x^0*y^7+x^0*y^11+x^2*y^3+x^2*y^9+x^5*y^8+x^7*y^4+x^7*y^6+x^8*y^3	x^0*y^4+x^0*y^9+x^6*y^10+x^7*y^8+x^7*y^10	13	css		
462	6	38	18.7532	11	21	x^1*y^5+x^4*y^13+x^6*y^2+x^9*y^4	x^3*y^1+x^6*y^16+x^6*y^20+x^7*y^4+x^7*y^11+x^9*y^7	10	css		
128	6	20	18.7500	4	16	x^0*y^2+x^1*y^5+x^2*y^8+x^3*y^8	x^0*y^9+x^0*y^10+x^2*y^2+x^2*y^6+x^2*y^7+x^2*y^11	10	css		
392	6	35	18.7500	7	28	x^2*y^0+x^2*y^21+x^4*y^9+x^5*y^7	x^0*y^9+x^3*y^4+x^4*y^6	7	css		
936	6	54	18.6923	26	18	x^7*y^2+x^7*y^8+x^9*y^15+x^10*y^6	x^5*y^17+x^6*y^2+x^10*y^10+x^20*y^7	8	css		
104	6	18	18.6923	26	2	x^0*y^0+x^4*y^1+x^9*y^1+x^13*y^0+x^14*y^0+x^21*y^0+x^22*y^0+x^23*y^0	x^2*y^1+x^12*y^1+x^15*y^0+x^17*y^0+x^18*y^0+x^24*y^0	14	css		
630	6	44	18.4381	21	15	x^2*y^14+x^9*y^6+x^16*y^7+x^19*y^4	x^0*y^12+x^5*y^6+x^6*y^9+x^10*y^5	8	css		
144	6	21	18.3750	3	24	x^0*y^4+x^1*y^23+x^2*y^4+x^2*y^11+x^2*y^12+x^2*y^15	x^0*y^5+x^0*y^15+x^0*y^19+x^1*y^0+x^1*y^9+x^1*y^16+x^2*y^11+x^2*y^21	14	css		
132	6	20	18.1818	11	6	x^0*y^5+x^1*y^4+x^2*y^2+x^3*y^3+x^3*y^4+x^4*y^0	x^2*y^1+x^2*y^2+x^3*y^4+x^4*y^4+x^6*y^3+x^6*y^4+x^8*y^0+x^9*y^5	14	css		
360	6	33	18.1500	9	20	x^0*y^8+x^0*y^15+x^3*y^19+x^6*y^11	x^1*y^11+x^2*y^16+x^2*y^18+x^4*y^9+x^5*y^6+x^8*y^18	10	css		
700	6	46	18.1371	10	35	x^2*y^3+x^6*y^19+x^7*y^30	x^0*y^11+x^3*y^20+x^7*y^6+x^9*y^11	7	css		
120	6	19	18.0500	5	12	x^0*y^4+x^1*y^1+x^3*y^5+x^4*y^8	x^0*y^1+x^0*y^3+x^1*y^3+x^3*y^2+x^3*y^11+x^4*y^2+x^4*y^4+x^4*y^5	12	css		
192	6	24	18.0000	16	6	x^0*y^3+x^2*y^2+x^6*y^4+x^10*y^4	x^0*y^0+x^1*y^4+x^2*y^4+x^7*y^4+x^11*y^1+x^13*y^0+x^13*y^4+x^15*y^3	12	css		
432	6	36	18.0000	27	8	x^1*y^5+x^7*y^7+x^8*y^7+x^19*y^1+x^19*y^3+x^20*y^2	x^1*y^0+x^6*y^1+x^6*y^2+x^18*y^0+x^21*y^1+x^25*y^0	12	css		
840	6	50	17.8571	7	60	x^0*y^6+x^1*y^7+x^1*y^30+x^2*y^10+x^4*y^51+x^6*y^39	x^2*y^15+x^3*y^16+x^4*y^36+x^6*y^34	10	css		
210	6	25	17.8571	7	15	x^0*y^5+x^0*y^9+x^0*y^10+x^3*y^4+x^3*y^5+x^3*y^6	x^2*y^10+x^3*y^2+x^5*y^0+x^5*y^1+x^6*y^2+x^6*y^4+x^6*y^7+x^6*y^12	14	css		
162	8	19	17.8272	27	3	x^5*y^2+x^14*y^0+x^17*y^1	x^2*y^1+x^6*y^1+x^16*y^0+x^23*y^0	7	css		
180	8	20	17.7778	15	6	x^0*y^1+x^0*y^5+x^7*y^3+x^12*y^2+x^14*y^3	x^3*y^3+x^7*y^4+x^9*y^5+x^14*y^3	9	css		
196	6	24	17.6327	14	7	x^4*y^5+x^6*y^1+x^8*y^4+x^11*y^6	x^6*y^3+x^11*y^2+x^13*y^0	7	css		
112	6	18	17.3571	2	28	x^0*y^4+x^0*y^5+x^0*y^13+x^0*y^17+x^0*y^27+x^1*y^13+x^1*y^22+x^1*y^25	x^0*y^1+x^0*y^3+x^0*y^7+x^0*y^24+x^1*y^22+x^1*y^27	14	css		
140	6	20	17.1429	7	10	x^0*y^0+x^1*y^8+x^2*y^8+x^5*y^0+x^6*y^1+x^6*y^4	x^1*y^1+x^2*y^7+x^4*y^9	9	css		
560	6	40	17.1429	35	8	x^12*y^5+x^30*y^7+x^32*y^7	x^17*y^3+x^18*y^1+x^19*y^5+x^25*y^6+x^26*y^7+x^31*y^1	9	css		
102	6	17	17.0000	17	3	x^5*y^1+x^7*y^2+x^8*y^2+x^15*y^1	x^0*y^2+x^5*y^0+x^5*y^1+x^6*y^0+x^9*y^0+x^10*y^0+x^10*y^1+x^13*y^2	12	css		
408	6	34	17.0000	51	4	x^15*y^0+x^15*y^1+x^25*y^3+x^40*y^3	x^0*y^0+x^6*y^2+x^9*y^1+x^15*y^1+x^19*y^3+x^31*y^3+x^36*y^0+x^48*y^0	12	css		
96	16	10	16.6667	24	2	x^2*y^1+x^6*y^0+x^10*y^1+x^12*y^0+x^20*y^1+x^22*y^1	x^6*y^0+x^8*y^0+x^16*y^0	9	css		
704	6	44	16.5000	44	8	x^1*y^6+x^5*y^6+x^7*y^2+x^14*y^1+x^14*y^7+x^27*y^0	x^7*y^4+x^8*y^5+x^15*y^4+x^24*y^1+x^32*y^0+x^37*y^1+x^41*y^2+x^43*y^1	14	css		
640	8	36	16.2000	8	40	x^0*y^30+x^3*y^30+x^3*y^39+x^4*y^10	x^1*y^29+x^3*y^19+x^5*y^18+x^7*y^13	8	css		
180	6	22	16.1333	45	2	x^4*y^1+x^25*y^0+x^29*y^1+x^41*y^1	x^3*y^1+x^11*y^1+x^25*y^1+x^33*y^1+x^40*y^0+x^44*y^1	10	css		
216	6	24	16.0000	18	6	x^2*y^1+x^3*y^2+x^9*y^5+x^10*y^3	x^2*y^3+x^4*y^4+x^5*y^3+x^7*y^2+x^9*y^2+x^9*y^5+x^14*y^5+x^15*y^4	12	css		
294	6	28	16.0000	7	21	x^0*y^4+x^2*y^19+x^4*y^2	x^1*y^13+x^3*y^0+x^4*y^19	6	css		
32	14	6	15.7500	4	4	x^0*y^1+x^1*y^0+x^1*y^1+x^1*y^2+x^2*y^0+x^2*y^1+x^2*y^3+x^3*y^0	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^1+x^2*y^0+x^3*y^0+x^3*y^1+x^3*y^3	16	css		
138	6	19	15.6957	23	3	x^7*y^2+x^9*y^1+x^11*y^2+x^18*y^1	x^11*y^2+x^15*y^0+x^17*y^2+x^22*y^0	8	css		
504	6	36	15.4286	6	42	x^2*y^16+x^2*y^40+x^3*y^22+x^4*y^40	x^0*y^16+x^1*y^7+x^3*y^23+x^5*y^23	8	css		
306	6	28	15.3725	51	3	x^2*y^0+x^28*y^2+x^37*y^1+x^43*y^1	x^10*y^1+x^11*y^0+x^21*y^1+x^30*y^0	8	css		
90	8	13	15.0222	15	3	x^3*y^2+x^4*y^2+x^5*y^2+x^7*y^0+x^10*y^1	x^6*y^0+x^7*y^0+x^7*y^1+x^8*y^1+x^10*y^2+x^13*y^1	11	css		
160	6	20	15.0000	40	2	x^0*y^0+x^8*y^1+x^9*y^0+x^11*y^1+x^20*y^1+x^21*y^1+x^27*y^0+x^38*y^0	x^7*y^0+x^14*y^1+x^26*y^0+x^35*y^1	12	css		
810	6	45	15.0000	45	9	x^0*y^7+x^7*y^4+x^8*y^4+x^11*y^1+x^18*y^4+x^30*y^4+x^32*y^0+x^32*y^3	x^10*y^3+x^12*y^5+x^20*y^2+x^21*y^2+x^36*y^2+x^44*y^0	14	css		
672	6	40	14.2857	6	56	x^1*y^22+x^3*y^26+x^3*y^36+x^3*y^44+x^3*y^46+x^4*y^45	x^0*y^7+x^0*y^23+x^3*y^24+x^3*y^53	10	css		
152	6	19	14.2500	4	19	x^0*y^10+x^0*y^13+x^2*y^6+x^2*y^7	x^0*y^12+x^1*y^15+x^2*y^8+x^3*y^12	8	css		
180	10	16	14.2222	30	3	x^2*y^2+x^8*y^0+x^12*y^1+x^19*y^1+x^25*y^0+x^28*y^0	x^8*y^0+x^9*y^0+x^9*y^2+x^11*y^2+x^16*y^0+x^21*y^1+x^24*y^0+x^27*y^2	14	css		
108	6	16	14.2222	18	3	x^0*y^1+x^5*y^2+x^6*y^0+x^8*y^0+x^10*y^1+x^15*y^1+x^16*y^1+x^17*y^2	x^1*y^1+x^1*y^2+x^3*y^2+x^4*y^1+x^8*y^0+x^8*y^1+x^9*y^0+x^9*y^1	16	css		
512	8	30	14.0625	32	8	x^2*y^6+x^6*y^2+x^16*y^7+x^17*y^6+x^24*y^1+x^31*y^5	x^3*y^0+x^4*y^4+x^11*y^0+x^11*y^1+x^27*y^5+x^28*y^6	12	css		
16	14	4	14.0000	4	2	x^0*y^0+x^0*y^1+x^1*y^0+x^1*y^1+x^2*y^0+x^2*y^1+x^3*y^0+x^3*y^1	x^0*y^0+x^0*y^1+x^1*y^0+x^1*y^1+x^2*y^0+x^2*y^1+x^3*y^0+x^3*y^1	16	css		
336	6	28	14.0000	6	28	x^0*y^4+x^2*y^13+x^2*y^23+x^3*y^15+x^5*y^3+x^5*y^27	x^0*y^5+x^0*y^26+x^3*y^2+x^3*y^26	10	css		
756	6	42	14.0000	18	21	x^1*y^1+x^1*y^8+x^6*y^6+x^6*y^15+x^10*y^4+x^13*y^11	x^4*y^16+x^9*y^12+x^11*y^20+x^13*y^19	10	css		
112	8	14	14.0000	2	28	x^0*y^6+x^0*y^8+x^0*y^10+x^0*y^24+x^1*y^6+x^1*y^10+x^1*y^12+x^1*y^16	x^0*y^0+x^0*y^5+x^0*y^25+x^1*y^26	12	css		
920	6	46	13.8000	20	23	x^1*y^0+x^2*y^2+x^8*y^19+x^9*y^6+x^11*y^3+x^12*y^12+x^18*y^17+x^19*y^20	x^2*y^13+x^12*y^16+x^17*y^9+x^19*y^6	12	css		
98	8	13	13.7959	7	7	x^3*y^1+x^4*y^6+x^5*y^0+x^5*y^3+x^5*y^5+x^6*y^6	x^0*y^2+x^0*y^6+x^2*y^0+x^2*y^5+x^4*y^3+x^6*y^0	12	css		
84	8	12	13.7143	21	2	x^1*y^1+x^2*y^1+x^3*y^0+x^13*y^1	x^5*y^1+x^8*y^0+x^13*y^0+x^13*y^1+x^15*y^0+x^19*y^0	10	css		
540	6	35	13.6111	45	6	x^1*y^4+x^16*y^4+x^28*y^2+x^30*y^5	x^13*y^3+x^14*y^3+x^24*y^2+x^29*y^2	8	css		
32	12	6	13.5000	4	4	x^0*y^3+x^1*y^0+x^1*y^1+x^2*y^0	x^0*y^2+x^0*y^3+x^2*y^0+x^2*y^1	8	css		
784	6	42	13.5000	8	49	x^1*y^38+x^5*y^16+x^6*y^26	x^0*y^30+x^2*y^33+x^2*y^34+x^4*y^9+x^6*y^31+x^6*y^42	9	css		
72	8	11	13.4444	12	3	x^3*y^2+x^4*y^0+x^5*y^0+x^6*y^1+x^8*y^0+x^10*y^0+x^10*y^1+x^10*y^2	x^0*y^0+x^3*y^0+x^3*y^1+x^3*y^2+x^4*y^1+x^9*y^1+x^11*y^0	15	css		
720	6	40	13.3333	15	24	x^0*y^0+x^0*y^4+x^6*y^9+x^12*y^13	x^5*y^10+x^8*y^18+x^8*y^23+x^10*y^20+x^11*y^21+x^14*y^19	10	css		
312	6	26	13.0000	13	12	x^0*y^0+x^6*y^8+x^9*y^2+x^10*y^0	x^8*y^4+x^8*y^5+x^9*y^11+x^12*y^7	8	css		
546	4	42	12.9231	13	21	x^4*y^14+x^5*y^8+x^5*y^14+x^7*y^0+x^8*y^13	x^0*y^9+x^1*y^9+x^3*y^16+x^4*y^10	9	css		
124	4	20	12.9032	31	2	x^0*y^1+x^2*y^1+x^7*y^0+x^9*y^0+x^10*y^0+x^13*y^1+x^15*y^0+x^29*y^1	x^0*y^0+x^0*y^1+x^22*y^0+x^25*y^0+x^27*y^1+x^28*y^0	14	css		
448	4	38	12.8929	56	4	x^17*y^0+x^23*y^0+x^36*y^3+x^55*y^2	x^32*y^2+x^46*y^1+x^49*y^2+x^51*y^1	8	css		
840	4	52	12.8762	10	42	x^0*y^18+x^6*y^15+x^9*y^4+x^9*y^8	x^2*y^7+x^6*y^8+x^8*y^30+x^8*y^38	8	css		
280	4	30	12.8571	4	35	x^1*y^4+x^1*y^10+x^1*y^14+x^1*y^16+x^1*y^32+x^3*y^15	x^1*y^6+x^1*y^17+x^2*y^9+x^2*y^14	10	css		
360	4	34	12.8444	12	15	x^1*y^10+x^3*y^8+x^7*y^0+x^9*y^8	x^3*y^4+x^3*y^14+x^5*y^13+x^6*y^0+x^7*y^1+x^7*y^3+x^10*y^7+x^11*y^12	12	css		
180	4	24	12.8000	5	18	x^2*y^3+x^2*y^15+x^3*y^11+x^3*y^12+x^3*y^15+x^4*y^17	x^0*y^10+x^2*y^8+x^3*y^0+x^4*y^4+x^4*y^16	11	css		
320	4	32	12.8000	4	40	x^0*y^0+x^0*y^22+x^1*y^11+x^2*y^28	x^1*y^26+x^2*y^2+x^3*y^10+x^3*y^37	8	css		
816	4	51	12.7500	12	34	x^0*y^5+x^5*y^4+x^8*y^4+x^10*y^29	x^1*y^1+x^3*y^4+x^3*y^26+x^5*y^18+x^7*y^6+x^7*y^24+x^9*y^4+x^9*y^11	12	css		
456	4	38	12.6667	19	12	x^1*y^7+x^15*y^6+x^17*y^11	x^6*y^2+x^9*y^2+x^10*y^9+x^13*y^2+x^14*y^9+x^16*y^2	9	css		
198	4	25	12.6263	11	9	x^1*y^1+x^1*y^8+x^2*y^5+x^9*y^7	x^0*y^1+x^6*y^5+x^9*y^0	7	css		
168	4	23	12.5952	2	42	x^0*y^1+x^0*y^21+x^1*y^7+x^1*y^10	x^1*y^5+x^1*y^15+x^1*y^26+x^1*y^32	8	css		
616	4	44	12.5714	14	22	x^2*y^6+x^5*y^9+x^9*y^13+x^11*y^17	x^0*y^4+x^0*y^10+x^3*y^13+x^8*y^8+x^8*y^11+x^10*y^9	10	css		
864	4	52	12.5185	18	24	x^5*y^21+x^7*y^22+x^9*y^17+x^16*y^14	x^3*y^2+x^3*y^17+x^5*y^11+x^17*y^14	8	css		
216	4	26	12.5185	18	6	x^0*y^3+x^9*y^1+x^10*y^1+x^11*y^4+x^12*y^1	x^0*y^4+x^7*y^1+x^11*y^3	8	css		
462	4	38	12.5022	11	21	x^4*y^2+x^5*y^12+x^8*y^18+x^10*y^17	x^0*y^0+x^2*y^11+x^4*y^16+x^7*y^17+x^10*y^11	9	css		
128	4	20	12.5000	16	4	x^1*y^3+x^4*y^0+x^5*y^2+x^10*y^2	x^4*y^2+x^5*y^0+x^5*y^1+x^7*y^3+x^8*y^1+x^9*y^0+x^9*y^1+x^11*y^1	12	css		
500	10	25	12.5000	10	25	x^0*y^22+x^1*y^11+x^5*y^12+x^6*y^16+x^6*y^23+x^7*y^1	x^0*y^4+x^1*y^1+x^1*y^15+x^1*y^20+x^3*y^17+x^6*y^7	12	css		
256	8	20	12.5000	4	32	x^0*y^4+x^0*y^29+x^1*y^5+x^2*y^16+x^2*y^27+x^3*y^1	x^2*y^22+x^3*y^1+x^3*y^6+x^3*y^14	10	css		
200	4	25	12.5000	10	10	x^0*y^2+x^0*y^3+x^2*y^0+x^3*y^0+x^4*y^5+x^5*y^1+x^7*y^5+x^9*y^8	x^1*y^0+x^1*y^7+x^5*y^3+x^6*y^9+x^7*y^1+x^7*y^7	14	css		
936	4	54	12.4615	12	39	x^0*y^27+x^8*y^1+x^11*y^2	x^6*y^3+x^6*y^17+x^10*y^13	6	css		
104	4	18	12.4615	2	26	x^0*y^0+x^0*y^9+x^0*y^10+x^0*y^20+x^0*y^23+x^1*y^6+x^1*y^17+x^1*y^25	x^0*y^0+x^0*y^7+x^0*y^9+x^0*y^12+x^1*y^5+x^1*y^15	14	css		
270	4	29	12.4593	3	45	x^0*y^38+x^1*y^3+x^1*y^5+x^2*y^11+x^2*y^23	x^1*y^7+x^1*y^31+x^2*y^0+x^2*y^24	9	css		
252	4	28	12.4444	42	3	x^5*y^0+x^12*y^1+x^15*y^2	x^2*y^0+x^10*y^1+x^27*y^0+x^33*y^0+x^33*y^2	8	css		
504	8	28	12.4444	42	6	x^13*y^3+x^17*y^4+x^26*y^4+x^38*y^4	x^13*y^3+x^17*y^2+x^33*y^1	7	css		
624	4	44	12.4103	26	12	x^6*y^8+x^19*y^2+x^24*y^10+x^25*y^10	x^1*y^10+x^4*y^7+x^14*y^8+x^16*y^4+x^18*y^0	9	css		
630	4	44	12.2921	9	35	x^0*y^26+x^4*y^25+x^6*y^28+x^7*y^11	x^0*y^8+x^7*y^19+x^8*y^9	7	css		
690	4	46	12.2667	15	23	x^2*y^2+x^7*y^18+x^12*y^12	x^1*y^22+x^2*y^5+x^3*y^22+x^6*y^3+x^6*y^14+x^9*y^8+x^12*y^21	10	css		
144	4	21	12.2500	3	24	x^0*y^10+x^1*y^16+x^2*y^6+x^2*y^19+x^2*y^20+x^2*y^21	x^0*y^3+x^0*y^16+x^0*y^19+x^2*y^4	10	css		
784	4	49	12.2500	28	14	x^3*y^10+x^8*y^8+x^16*y^2+x^24*y^4	x^9*y^9+x^18*y^11+x^21*y^1+x^24*y^5	8	css		
222	4	26	12.1802	37	3	x^1*y^0+x^17*y^2+x^32*y^1	x^0*y^0+x^16*y^2+x^23*y^2+x^27*y^0+x^32*y^1+x^35*y^1	9	css		
450	4	37	12.1689	15	15	x^7*y^14+x^11*y^2+x^14*y^6	x^1*y^9+x^2*y^3+x^2*y^14+x^5*y^14+x^6*y^8+x^14*y^5	9	css		
132	4	20	12.1212	11	6	x^1*y^0+x^2*y^1+x^2*y^5+x^3*y^4+x^3*y^5+x^8*y^3	x^0*y^4+x^0*y^5+x^1*y^4+x^4*y^3+x^7*y^1+x^8*y^1	12	css		
160	4	22	12.1000	10	8	x^1*y^2+x^1*y^3+x^5*y^6+x^6*y^4	x^1*y^5+x^6*y^0+x^7*y^1+x^9*y^7	8	css		
700	4	46	12.0914	35	10	x^7*y^0+x^8*y^2+x^21*y^2+x^27*y^6	x^2*y^7+x^4*y^9+x^17*y^4+x^25*y^4	8	css		
96	4	17	12.0417	3	16	x^0*y^1+x^0*y^4+x^0*y^5+x^1*y^11+x^1*y^12+x^2*y^3+x^2*y^7+x^2*y^9	x^0*y^5+x^0*y^7+x^0*y^13+x^1*y^5+x^2*y^4+x^2*y^10	14	css		
120	4	19	12.0333	3	20	x^0*y^3+x^0*y^6+x^0*y^13+x^1*y^2+x^2*y^0+x^2*y^8+x^2*y^9	x^0*y^1+x^0*y^2+x^0*y^4+x^0*y^16+x^1*y^13+x^1*y^15+x^2*y^7+x^2*y^17	15	css		
480	4	38	12.0333	4	60	x^0*y^12+x^1*y^8+x^1*y^27+x^2*y^41	x^0*y^57+x^1*y^52+x^2*y^40+x^3*y^16	8	css		
176	4	23	12.0227	4	22	x^1*y^8+x^2*y^0+x^2*y^4+x^3*y^12	x^0*y^1+x^0*y^9+x^0*y^19+x^1*y^13+x^3*y^8+x^3*y^13	10	css		
900	4	52	12.0178	25	18	x^2*y^14+x^10*y^2+x^15*y^14+x^18*y^12	x^1*y^8+x^3*y^12+x^15*y^1+x^17*y^5	8	css		
192	4	24	12.0000	16	6	x^0*y^5+x^6*y^1+x^7*y^3+x^8*y^4+x^10*y^0+x^11*y^0+x^13*y^4+x^15*y^1	x^1*y^4+x^3*y^0+x^12*y^2+x^13*y^3+x^14*y^2+x^15*y^4	14	css		
144	12	12	12.0000	6	12	x^0*y^8+x^1*y^2+x^1*y^6+x^2*y^7+x^3*y^11+x^4*y^5+x^4*y^8+x^5*y^3	x^1*y^3+x^1*y^10+x^3*y^3+x^3*y^6	12	css		
